title,company,role,city,work_mode,experience,exp_min,exp_max,exp_avg,salary,description,skills,url,combined_text,extracted_skills,skill_count,skills_list,extracted_skills_str
Data Scientist,Digital Convergence Technologies,Data Scientist,Pune,On-site,5-10 Yrs,5,10,7.5,Not disclosed,Masters degree or above in Computer Science or related fieldsThe ideal candidates shoul...,"machine learning, python, pytorch, tensorflow, generative ai, natural language processing, llm, data",https://www.naukri.com/job-listings-data-scientist-digital-convergence-technologies-pune-5-to-10-years-030226013566,"Masters degree or above in Computer Science or related fieldsThe ideal candidates shoul... machine learning, python, pytorch, tensorflow, generative ai, natural language processing, llm, data",[],8,"['machine learning', 'python', 'pytorch', 'tensorflow', 'generative ai', 'natural language processing', 'llm', 'data']","machine learning, python, pytorch, tensorflow, generative ai, natural language processing, llm, data"
Data Scientist,Tata Consultancy Services,Data Scientist,Hyderabad,On-site,10-15 Yrs,10,15,12.5,Not disclosed,"Location- Pan IndiaPreferred candidate profile  Experience using Redshift, S3, ADLS, Da...","s3, databricks engineer, redshift, sagemaker, adls, jupyter, jupyter notebook, azure data lake",https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-pune-bengaluru-10-to-15-years-050126025788,"Location- Pan IndiaPreferred candidate profile  Experience using Redshift, S3, ADLS, Da... s3, databricks engineer, redshift, sagemaker, adls, jupyter, jupyter notebook, azure data lake",[],8,"['s3', 'databricks engineer', 'redshift', 'sagemaker', 'adls', 'jupyter', 'jupyter notebook', 'azure data lake']","s3, databricks engineer, redshift, sagemaker, adls, jupyter, jupyter notebook, azure data lake"
Data Scientist,Persolkelly India,Data Scientist,Mumbai,On-site,4-6 Yrs,4,6,5.0,Not disclosed,As a member of the Data Science C Analytics Engagement Team your will have the follow...,"supply chain, computer science, data analysis, prototype, machine learning, schema, information technology, sql",https://www.naukri.com/job-listings-data-scientist-persolkelly-mumbai-nagpur-thane-nashik-pune-aurangabad-4-to-6-years-200226501875,"As a member of the Data Science C Analytics Engagement Team your will have the follow... supply chain, computer science, data analysis, prototype, machine learning, schema, information technology, sql",[],8,"['supply chain', 'computer science', 'data analysis', 'prototype', 'machine learning', 'schema', 'information technology', 'sql']","supply chain, computer science, data analysis, prototype, machine learning, schema, information technology, sql"
Data Scientist,Logic Planet,Data Scientist,Indore,On-site,3-6 Yrs,3,6,4.5,Not disclosed,"Bachelor s or master s in computer science, Statistics, Mathematics, Data Science, Engi...","computer science, computer vision, data science, neural networks, machine learning, algorithm development, programming, mathematics",https://www.naukri.com/job-listings-data-scientist-logicplanet-it-services-indore-pune-ahmedabad-3-to-6-years-200226502226,"Bachelor s or master s in computer science, Statistics, Mathematics, Data Science, Engi... computer science, computer vision, data science, neural networks, machine learning, algorithm development, programming, mathematics",[],8,"['computer science', 'computer vision', 'data science', 'neural networks', 'machine learning', 'algorithm development', 'programming', 'mathematics']","computer science, computer vision, data science, neural networks, machine learning, algorithm development, programming, mathematics"
Data Scientist,Logic Planet,Data Scientist,Hyderabad,On-site,3-6 Yrs,3,6,4.5,Not disclosed,"Experience with cloud computing platforms such as AWS, Azure, and GCP . Experience with...","cloud computing, gcp, agile development, cloud, data collection, data processing, model development, deployment",https://www.naukri.com/job-listings-data-scientist-logicplanet-it-services-hyderabad-pune-bengaluru-3-to-6-years-200226502249,"Experience with cloud computing platforms such as AWS, Azure, and GCP . Experience with... cloud computing, gcp, agile development, cloud, data collection, data processing, model development, deployment",[],8,"['cloud computing', 'gcp', 'agile development', 'cloud', 'data collection', 'data processing', 'model development', 'deployment']","cloud computing, gcp, agile development, cloud, data collection, data processing, model development, deployment"
Data Scientist,Atos,Data Scientist,Pune,On-site,4-7 Yrs,4,7,5.5,Not disclosed,Python Team Lead (GenAI) Experience,"continuous integration, cd, kubernetes, python, system design, microsoft azure, ci/cd, integration framework",https://www.naukri.com/job-listings-data-scientist-atos-pvt-ltd-pune-4-to-7-years-160226500894,"Python Team Lead (GenAI) Experience continuous integration, cd, kubernetes, python, system design, microsoft azure, ci/cd, integration framework",[],8,"['continuous integration', 'cd', 'kubernetes', 'python', 'system design', 'microsoft azure', 'ci/cd', 'integration framework']","continuous integration, cd, kubernetes, python, system design, microsoft azure, ci/cd, integration framework"
data scientist,CN Solutions,Data Scientist,Pune,On-site,4-6 Yrs,4,6,5.0,Not disclosed,"Candidates need to be screened on ""ML ops with recommendation engine experience, ETL, w...","sql, data science, pytorch, machine learning algorithms, aws, algorithms, python, natural language processing",https://www.naukri.com/job-listings-data-scientist-cn-solutions-pune-4-to-6-years-200226920711,"Candidates need to be screened on ""ML ops with recommendation engine experience, ETL, w... sql, data science, pytorch, machine learning algorithms, aws, algorithms, python, natural language processing",[],8,"['sql', 'data science', 'pytorch', 'machine learning algorithms', 'aws', 'algorithms', 'python', 'natural language processing']","sql, data science, pytorch, machine learning algorithms, aws, algorithms, python, natural language processing"
Data Scientist - 1,Logic Planet,Data Scientist,Hyderabad,On-site,5-10 Yrs,5,10,7.5,Not disclosed,"Experience with cloud computing platforms such as AWS, Azure, and GCP . Experience with...","cloud computing, gcp, agile development, cloud, data collection, data processing, model development, scientist 1",https://www.naukri.com/job-listings-data-scientist-1-logicplanet-it-services-hyderabad-pune-bengaluru-5-to-10-years-200226502251,"Experience with cloud computing platforms such as AWS, Azure, and GCP . Experience with... cloud computing, gcp, agile development, cloud, data collection, data processing, model development, scientist 1",[],8,"['cloud computing', 'gcp', 'agile development', 'cloud', 'data collection', 'data processing', 'model development', 'scientist 1']","cloud computing, gcp, agile development, cloud, data collection, data processing, model development, scientist 1"
Data Scientist Shalini,Logic Planet,Data Scientist,Kolkata,On-site,8-14 Yrs,8,14,11.0,Not disclosed,"Skills: System design, knowledge of cloud services, understanding of AI / ML lifecycle,...","cloud services, sap, ai solutions, ai, system design, machine learning, data science tools, microservices",https://www.naukri.com/job-listings-data-scientist-shalini-logicplanet-it-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-8-to-14-years-200226504888,"Skills: System design, knowledge of cloud services, understanding of AI / ML lifecycle,... cloud services, sap, ai solutions, ai, system design, machine learning, data science tools, microservices",[],8,"['cloud services', 'sap', 'ai solutions', 'ai', 'system design', 'machine learning', 'data science tools', 'microservices']","cloud services, sap, ai solutions, ai, system design, machine learning, data science tools, microservices"
Data Scientist,Kanini Software Solutions,Data Scientist,Pune,On-site,5-10 Yrs,5,10,7.5,Not disclosed,"What You Bring . 5+ years of professional Python development experience (async, type hi...","agentic ai, generative ai, cloud, fastapi, machine learning, python, artificial intelligence, data",https://www.naukri.com/job-listings-data-scientist-kanini-software-solutions-pune-chennai-bengaluru-5-to-10-years-200226018793,"What You Bring . 5+ years of professional Python development experience (async, type hi... agentic ai, generative ai, cloud, fastapi, machine learning, python, artificial intelligence, data",[],8,"['agentic ai', 'generative ai', 'cloud', 'fastapi', 'machine learning', 'python', 'artificial intelligence', 'data']","agentic ai, generative ai, cloud, fastapi, machine learning, python, artificial intelligence, data"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Hyderabad,On-site,3-7 Yrs,3,7,5.0,Not disclosed,Bachelors DegreeMasters DegreeRequired educationPreferred educationRequired technical a...,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-hyderabad-3-to-7-years-200226912154,"Bachelors DegreeMasters DegreeRequired educationPreferred educationRequired technical a... data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",[],8,"['data scientist', 'python', 'ai solutions', 'ai frameworks', 'ai', 'cloud platforms', 'machine learning', 'artificial intelligence']","data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Bengaluru,On-site,3-7 Yrs,3,7,5.0,Not disclosed,Bachelors Degree Required education Required technical and professional expertise Prefe...,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-160226928821,"Bachelors Degree Required education Required technical and professional expertise Prefe... data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",[],8,"['data scientist', 'python', 'ai solutions', 'ai frameworks', 'ai', 'cloud platforms', 'machine learning', 'artificial intelligence']","data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence"
Data Scientist,Ford,Data Scientist,Chennai,On-site,3-7 Yrs,3,7,5.0,Not disclosed,"Hands-on Expertise in Python programming (OOPs concepts), SQL (relational / non-relatio...","computer science, data science, neural networks, analytical, machine learning, natural language processing, data visualization, analytics",https://www.naukri.com/job-listings-data-scientist-ford-india-private-limited-chennai-3-to-7-years-200226501968,"Hands-on Expertise in Python programming (OOPs concepts), SQL (relational / non-relatio... computer science, data science, neural networks, analytical, machine learning, natural language processing, data visualization, analytics",[],8,"['computer science', 'data science', 'neural networks', 'analytical', 'machine learning', 'natural language processing', 'data visualization', 'analytics']","computer science, data science, neural networks, analytical, machine learning, natural language processing, data visualization, analytics"
Data Scientist,The Glove,Data Scientist,Pune,Hybrid,2-6 Yrs,2,6,4.0,6-12 Lacs PA,Role - Data ScientistExp - 2-6 YearsLocation - Pune / GurgaonJob Description - Work wit...,"pyspark, generative ai, python, artificial intelligence, data",https://www.naukri.com/job-listings-data-scientist-the-glove-pune-gurugram-2-to-6-years-200226008314,"Role - Data ScientistExp - 2-6 YearsLocation - Pune / GurgaonJob Description - Work wit... pyspark, generative ai, python, artificial intelligence, data",[],5,"['pyspark', 'generative ai', 'python', 'artificial intelligence', 'data']","pyspark, generative ai, python, artificial intelligence, data"
AI Product Data Scientist (Agentic Systems & Product Ecosystem),Tekskills India PVT LTD,Data Scientist,Pune,On-site,5-10 Yrs,5,10,7.5,10-20 Lacs PA,Required Skills & Qualifications Experience: 312 Years  Strong experience in Data Scien...,"data science, artificial intelligence, natural language processing, python, data, processing, system, science",https://www.naukri.com/job-listings-ai-product-data-scientist-agentic-systems-product-ecosystem-tekskills-pune-gurugram-bengaluru-5-to-10-years-180226010353,"Required Skills & Qualifications Experience: 312 Years  Strong experience in Data Scien... data science, artificial intelligence, natural language processing, python, data, processing, system, science",[],8,"['data science', 'artificial intelligence', 'natural language processing', 'python', 'data', 'processing', 'system', 'science']","data science, artificial intelligence, natural language processing, python, data, processing, system, science"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Gurugram,On-site,10-15 Yrs,10,15,12.5,Not disclosed,Advanced Packaging SME - Overall 15 plus years of Industry experience (Electronics/Semi...,"data scientist, operations, b2b, semiconductor, fabrication, design, manufacturing, mes",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-gurugram-10-to-15-years-200226912052,"Advanced Packaging SME - Overall 15 plus years of Industry experience (Electronics/Semi... data scientist, operations, b2b, semiconductor, fabrication, design, manufacturing, mes",[],8,"['data scientist', 'operations', 'b2b', 'semiconductor', 'fabrication', 'design', 'manufacturing', 'mes']","data scientist, operations, b2b, semiconductor, fabrication, design, manufacturing, mes"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Bengaluru,On-site,5-7 Yrs,5,7,6.0,Not disclosed,Bachelors Degree . Required education Required technical and professional expertise . R...,"cloud technologies, data scientist, algorithms, python, data analytics, data pipelines, 70584, ai solutions",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-160226924208,"Bachelors Degree . Required education Required technical and professional expertise . R... cloud technologies, data scientist, algorithms, python, data analytics, data pipelines, 70584, ai solutions",[],8,"['cloud technologies', 'data scientist', 'algorithms', 'python', 'data analytics', 'data pipelines', '70584', 'ai solutions']","cloud technologies, data scientist, algorithms, python, data analytics, data pipelines, 70584, ai solutions"
Data Scientist-AIML,Leading IT Service and Consulting Organization,Data Scientist,Pune,Hybrid,5-10 Yrs,5,10,7.5,Not disclosed,A 15 years full time education is required Professional & Technical Skills: - Must To H...,"data science, tensorflow, pytorch, large language model, deep learning, natural language processing, machine learning, python",https://www.naukri.com/job-listings-data-scientist-aiml-anlage-infotech-pune-5-to-10-years-180226023044,"A 15 years full time education is required Professional & Technical Skills: - Must To H... data science, tensorflow, pytorch, large language model, deep learning, natural language processing, machine learning, python",[],8,"['data science', 'tensorflow', 'pytorch', 'large language model', 'deep learning', 'natural language processing', 'machine learning', 'python']","data science, tensorflow, pytorch, large language model, deep learning, natural language processing, machine learning, python"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Bengaluru,On-site,5-7 Yrs,5,7,6.0,Not disclosed,"Work with broader team to build, analyze and improve the AI solutions. You will also w...","data scientist, algorithms, python, data analytics, data pipelines, ai solutions, ai, enterprise applications",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-180226933347,"Work with broader team to build, analyze and improve the AI solutions. You will also w... data scientist, algorithms, python, data analytics, data pipelines, ai solutions, ai, enterprise applications",[],8,"['data scientist', 'algorithms', 'python', 'data analytics', 'data pipelines', 'ai solutions', 'ai', 'enterprise applications']","data scientist, algorithms, python, data analytics, data pipelines, ai solutions, ai, enterprise applications"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Bengaluru,On-site,5-7 Yrs,5,7,6.0,Not disclosed,"Work with broader team to build, analyze and improve the AI solutions.You will also wor...","data scientist, algorithms, python, data analytics, data pipelines, ai solutions, ai, enterprise applications",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-180226933324,"Work with broader team to build, analyze and improve the AI solutions.You will also wor... data scientist, algorithms, python, data analytics, data pipelines, ai solutions, ai, enterprise applications",[],8,"['data scientist', 'algorithms', 'python', 'data analytics', 'data pipelines', 'ai solutions', 'ai', 'enterprise applications']","data scientist, algorithms, python, data analytics, data pipelines, ai solutions, ai, enterprise applications"
Data Scientist,EY,Data Scientist,Kolkata,Hybrid,4-7 Yrs,4,7,5.5,17-27.5 Lacs PA,"Role & responsibilities . work experience in developing and implementing AI, Machine Le...","gen ai, python, llm, rag, data scientist, azure, generative ai, artificial intelligence",https://www.naukri.com/job-listings-data-scientist-ey-kolkata-pune-bengaluru-4-to-7-years-041225020462,"Role & responsibilities . work experience in developing and implementing AI, Machine Le... gen ai, python, llm, rag, data scientist, azure, generative ai, artificial intelligence",[],8,"['gen ai', 'python', 'llm', 'rag', 'data scientist', 'azure', 'generative ai', 'artificial intelligence']","gen ai, python, llm, rag, data scientist, azure, generative ai, artificial intelligence"
Data Scientist + Machine Learning (5-10 Years),Infosys,Data Scientist,Hyderabad,Hybrid,5-10 Yrs,5,10,7.5,Not disclosed,Infosys Hiring for Data Scientist + Machine Learning EngineerExperience:5-10 YearsSkil...,"data science, machine learning, natural language processing, deep learning, python, science, machine, processing",https://www.naukri.com/job-listings-data-scientist-machine-learning-5-10-years-infosys-hyderabad-pune-bengaluru-5-to-10-years-050126030206,"Infosys Hiring for Data Scientist + Machine Learning EngineerExperience:5-10 YearsSkil... data science, machine learning, natural language processing, deep learning, python, science, machine, processing",[],8,"['data science', 'machine learning', 'natural language processing', 'deep learning', 'python', 'science', 'machine', 'processing']","data science, machine learning, natural language processing, deep learning, python, science, machine, processing"
Data Scientist-6-10Yrs-PAN INDIA,Crescendo Global Leadership Hiring India,Data Scientist,Pune,Hybrid,6-11 Yrs,6,11,8.5,Not disclosed,Minimum Qualifications: . Bachelors degree in computer science or a related field OR ma...,"generative ai, rag, data scientist, llm, python, scientist, data, artificial intelligence",https://www.naukri.com/job-listings-data-scientist-6-10yrs-pan-india-crescendo-global-leadership-hiring-india-pune-bengaluru-delhi-ncr-6-to-11-years-190226027307,"Minimum Qualifications: . Bachelors degree in computer science or a related field OR ma... generative ai, rag, data scientist, llm, python, scientist, data, artificial intelligence",[],8,"['generative ai', 'rag', 'data scientist', 'llm', 'python', 'scientist', 'data', 'artificial intelligence']","generative ai, rag, data scientist, llm, python, scientist, data, artificial intelligence"
Revenue Growth Management-Data Scientist,Infosys,Data Scientist,Bengaluru,On-site,8-13 Yrs,8,13,10.5,Not disclosed,"Bachelor of Engineering, PhD of Computer Science Must have worked with Data science, ML...","data scientist, mlops, algorithms, python, data analytics, data processing, ai, databricks",https://www.naukri.com/job-listings-revenue-growth-management-data-scientist-infosys-limited-bengaluru-8-to-13-years-170226942530,"Bachelor of Engineering, PhD of Computer Science Must have worked with Data science, ML... data scientist, mlops, algorithms, python, data analytics, data processing, ai, databricks",[],8,"['data scientist', 'mlops', 'algorithms', 'python', 'data analytics', 'data processing', 'ai', 'databricks']","data scientist, mlops, algorithms, python, data analytics, data processing, ai, databricks"
Data Scientist,Tekskill,Data Scientist,Pune,On-site,3-8 Yrs,3,8,5.5,Not disclosed,"Required Skills & Qualifications . Strong experience in Data Science, ML, and AI produc...","data science, agentic ai, artificial intelligence, machine learning, python, science, intelligence, data",https://www.naukri.com/job-listings-data-scientist-tekskills-pune-gurugram-bengaluru-3-to-8-years-180226012033,"Required Skills & Qualifications . Strong experience in Data Science, ML, and AI produc... data science, agentic ai, artificial intelligence, machine learning, python, science, intelligence, data",[],8,"['data science', 'agentic ai', 'artificial intelligence', 'machine learning', 'python', 'science', 'intelligence', 'data']","data science, agentic ai, artificial intelligence, machine learning, python, science, intelligence, data"
Data Scientist,Iris Software,Data Scientist,Gurugram,On-site,7-9 Yrs,7,9,8.0,Not disclosed,Shift time: 08:00 am to 05:00 pm. Engineering and ETL experience including database mod...,"pyspark, machine learning, python, data science, predictive modeling, power bi, artificial intelligence, natural language processing",https://www.naukri.com/job-listings-data-scientist-iris-software-gurugram-delhi-ncr-7-to-9-years-200226006936,"Shift time: 08:00 am to 05:00 pm. Engineering and ETL experience including database mod... pyspark, machine learning, python, data science, predictive modeling, power bi, artificial intelligence, natural language processing",[],8,"['pyspark', 'machine learning', 'python', 'data science', 'predictive modeling', 'power bi', 'artificial intelligence', 'natural language processing']","pyspark, machine learning, python, data science, predictive modeling, power bi, artificial intelligence, natural language processing"
Data Scientist,Caterpillar Inc,Data Scientist,Bengaluru,On-site,4-6 Yrs,4,6,5.0,Not disclosed,Candidate should be flexible to work in rotational shifts including night shifts Releva...,"supply chain, mining, data analysis, sas, data management, business analytics, analytical, business intelligence",https://www.naukri.com/job-listings-data-scientist-caterpillar-brazil-bengaluru-4-to-6-years-200226500537,"Candidate should be flexible to work in rotational shifts including night shifts Releva... supply chain, mining, data analysis, sas, data management, business analytics, analytical, business intelligence",[],8,"['supply chain', 'mining', 'data analysis', 'sas', 'data management', 'business analytics', 'analytical', 'business intelligence']","supply chain, mining, data analysis, sas, data management, business analytics, analytical, business intelligence"
Data Scientist Gen AI- Offshore,EXL,Data Scientist,Gurugram,On-site,1-6 Yrs,1,6,3.5,Not disclosed,"Required Skills: . 5+ years of experience in Data Science / ML, with 1+ year hands-on i...","automation, enterprise architecture, gcp, machine learning, healthcare, transformers, data privacy, customer service",https://www.naukri.com/job-listings-data-scientist-gen-ai-offshore-exl-services-com-i-pvt-ltd-gurugram-1-to-6-years-200226503530,"Required Skills: . 5+ years of experience in Data Science / ML, with 1+ year hands-on i... automation, enterprise architecture, gcp, machine learning, healthcare, transformers, data privacy, customer service",[],8,"['automation', 'enterprise architecture', 'gcp', 'machine learning', 'healthcare', 'transformers', 'data privacy', 'customer service']","automation, enterprise architecture, gcp, machine learning, healthcare, transformers, data privacy, customer service"
Data Scientist,Cybage,Data Scientist,Pune,On-site,5-8 Yrs,5,8,6.5,Not disclosed,"Troubleshoot complex issues related to AI model performance, data quality, and system i...","data science, tensorflow, artificial intelligence, natural language processing, rag, machine learning, deep learning, python",https://www.naukri.com/job-listings-data-scientist-cybage-pune-5-to-8-years-170226027560,"Troubleshoot complex issues related to AI model performance, data quality, and system i... data science, tensorflow, artificial intelligence, natural language processing, rag, machine learning, deep learning, python",[],8,"['data science', 'tensorflow', 'artificial intelligence', 'natural language processing', 'rag', 'machine learning', 'deep learning', 'python']","data science, tensorflow, artificial intelligence, natural language processing, rag, machine learning, deep learning, python"
Data Scientist,Wipro,Data Scientist,Hyderabad,Hybrid,5-10 Yrs,5,10,7.5,Not disclosed,What youll doThe ideal candidate will be responsible for analyzing large datasets to e...,"predictive modeling, mlop, statistical modeling, predictive, data, statistics, modeling",https://www.naukri.com/job-listings-data-scientist-wipro-hyderabad-chennai-bengaluru-5-to-10-years-180226038989,"What youll doThe ideal candidate will be responsible for analyzing large datasets to e... predictive modeling, mlop, statistical modeling, predictive, data, statistics, modeling",[],7,"['predictive modeling', 'mlop', 'statistical modeling', 'predictive', 'data', 'statistics', 'modeling']","predictive modeling, mlop, statistical modeling, predictive, data, statistics, modeling"
